RK,TIERS,PLAYER NAME,TEAM,POS
16,7,Luther Burden III,,WR16
16,6,Jake Ferguson,,TE16
16,7,Kansas City Chiefs,,DST16
16,6,Harrison Butker,,K16
17,9,Jared Goff,,QB17
17,7,Travis Etienne Jr.,,RB17
17,7,Jaylen Waddle,,WR17
17,7,Brenton Strange,,TE17
17,8,San Francisco 49ers,,DST17
17,6,Andy Borregales,,K17
18,10,Jordan Love,,QB18
18,7,Breece Hall,,RB18
18,7,Zay Flowers,,WR18
18,7,Hunter Henry,,TE18
18,8,Indianapolis Colts,,DST18
18,7,Daniel Carlson,,K18
19,10,Baker Mayfield,,QB19
19,8,Bucky Irving,,RB19
19,8,Tee Higgins,,WR19
19,8,Dalton Schultz,,TE19
19,9,New Orleans Saints,,DST19
19,7,Nick Folk,,K19
20,10,Tyler Shough,,QB20
20,8,D'Andre Swift,,RB20
20,8,Tetairoa McMillan,,WR20
20,8,T.J. Hockenson,,TE20
20,9,Atlanta Falcons,,DST20
20,8,Wil Lutz,,K20
21,11,Malik Willis,,QB21
21,8,Jadarian Price,,RB21
21,8,Garrett Wilson,,WR21
21,8,Chig Okonkwo,,TE21
21,9,Cincinnati Bengals,,DST21
21,8,Tyler Bass,,K21
22,12,Daniel Jones,,QB22
22,8,David Montgomery,,RB22
22,8,Emeka Egbuka,,WR22
22,9,Terrance Ferguson,,TE22
22,10,Tampa Bay Buccaneers,,DST22
22,8,Evan McPherson,,K22
23,12,Sam Darnold,,QB23
23,8,Quinshon Judkins,,RB23
23,9,Davante Adams,,WR23
23,9,Greg Dulcich,,TE23
23,10,Cleveland Browns,,DST23
23,8,Jake Elliott,,K23
24,12,C.J. Stroud,,QB24
24,8,Jaylen Warren,,RB24
24,9,Parker Washington,,WR24
24,9,AJ Barner,,TE24
24,10,Carolina Panthers,,DST24
24,9,Drew Stevens,,K24
25,12,Cam Ward,,QB25
25,9,Rhamondre Stevenson,,RB25
25,9,DJ Moore,,WR25
25,10,Cade Otton,,TE25
25,10,Dallas Cowboys,,DST25
25,9,Dominic Zvada,,K25
26,13,Jacoby Brissett,,QB26
26,9,TreVeyon Henderson,,RB26
26,9,Mike Evans,,WR26
26,10,Kenyon Sadiq,,TE26
26,11,Tennessee Titans,,DST26
26,9,Chad Ryland,,K26
27,13,Bryce Young,,QB27
27,9,Bhayshul Tuten,,RB27
27,9,Terry McLaurin,,WR27
27,10,Pat Freiermuth,,TE27
27,11,New York Jets,,DST27
27,10,Joey Slye,,K27
28,13,Aaron Rodgers,,QB28
28,10,Marshawn Lloyd,,RB28
28,10,Christian Watson,,WR28
28,11,Charlie Kolar,,TE28
28,11,New York Giants,,DST28
28,10,Ryan Fitzgerald,,K28
29,14,Geno Smith,,QB29
29,10,Jonathon Brooks,,RB29
29,10,Rome Odunze,,WR29
29,11,Gunnar Helm,,TE29
29,12,Washington Commanders,,DST29
29,11,Matt Gay,,K29
30,14,Tua Tagovailoa,,QB30
30,10,Jacory Croskey-Merritt,,RB30
30,10,Jameson Williams,,WR30
30,11,Colby Parkinson,,TE30
30,12,Las Vegas Raiders,,DST30
30,11,Jason Sanders,,K30
31,15,Fernando Mendoza,,QB31
31,11,Rico Dowdle,,RB31
31,10,Carnell Tate,,WR31
31,12,Mike Gesicki,,TE31
31,13,Miami Dolphins,,DST31
31,12,Riley Patterson,,K31
32,15,Shedeur Sanders,,QB32
32,11,Tony Pollard,,RB32
32,10,Marvin Harrison Jr.,,WR32
32,12,Evan Engram,,TE32
32,13,Arizona Cardinals,,DST32
32,12,Andre Szmyt,,K32
33,16,Kirk Cousins,,QB33
33,12,Jordan Mason,,RB33
33,10,Alec Pierce,,WR33
33,13,Oronde Gadsden,,TE33
34,16,Michael Penix Jr.,,QB34
34,12,J.K. Dobbins,,RB34
34,11,Chris Godwin,,WR34
34,13,Darren Waller,,TE34
35,16,Deshaun Watson,,QB35
35,12,Blake Corum,,RB35
35,11,Courtland Sutton,,WR35
35,13,David Njoku,,TE35
36,16,Carson Beck,,QB36
36,12,Chuba Hubbard,,RB36
36,11,Michael Pittman Jr.,,WR36
36,13,Michael Mayer,,TE36
37,13,Kyle Monangai,,RB37
37,11,Stefon Diggs,,WR37
37,14,Darnell Washington,,TE37
38,13,Kenneth Gainwell,,RB38
38,11,DK Metcalf,,WR38
38,14,Matthew Hibner,,TE38
39,14,Chris Rodriguez Jr.,,RB39
39,11,Brian Thomas Jr.,,WR39
39,14,Mason Taylor,,TE39
40,14,RJ Harvey,,RB40
40,12,Jordan Addison,,WR40
40,14,Theo Johnson,,TE40
41,14,Tyjae Spears,,RB41
41,12,Quentin Johnston,,WR41
42,14,Aaron Jones Sr.,,RB42
42,12,Michael Wilson,,WR42
43,15,Tyler Allgeier,,RB43
43,12,Wan'Dale Robinson,,WR43
44,15,Josh Jacobs,,RB44
44,12,KC Concepcion,,WR44
45,15,Woody Marks,,RB45
45,12,Jayden Reed,,WR45
46,15,Dylan Sampson,,RB46
46,13,Makai Lemon,,WR46
47,15,Rachaad White,,RB47
47,13,De'Zhaun Stribling,,WR47
48,16,Keaton Mitchell,,RB48
48,13,Jalen Coker,,WR48
49,16,Mike Washington Jr.,,RB49
49,13,Jordyn Tyson,,WR49
50,16,Jonah Coleman,,RB50
50,13,Jakobi Meyers,,WR50
51,16,Zach Charbonnet,,RB51
51,14,Khalil Shakir,,WR51
52,16,Braelon Allen,,RB52
52,14,Matthew Golden,,WR52
53,17,Alvin Kamara,,RB53
53,14,Josh Downs,,WR53
54,17,Isiah Pacheco,,RB54
54,14,Keenan Allen,,WR54
55,17,Tyrone Tracy Jr.,,RB55
55,15,Romeo Doubs,,WR55
56,18,Tank Bigsby,,RB56
56,15,Xavier Worthy,,WR56
57,18,Ray Davis,,RB57
57,15,Rashid Shaheed,,WR57
58,18,Brian Robinson Jr.,,RB58
58,15,Deebo Samuel,,WR58
59,19,Samaje Perine,,RB59
59,15,Malik Washington,,WR59
60,19,Malik Davis,,RB60
60,15,Tre Tucker,,WR60
61,19,Emmett Johnson,,RB61
61,16,Kayshon Boutte,,WR61
62,19,Kaelon Black,,RB62
62,16,Ja'Kobi Lane,,WR62
63,20,Justice Hill,,RB63
63,16,Cyrus Allen,,WR63
64,20,George Holani,,RB64
64,16,Jauan Jennings,,WR64
65,20,Nicholas Singleton,,RB65
65,16,Jalen McMillan,,WR65
66,20,Kaytron Allen,,RB66
66,16,Adonai Mitchell,,WR66
67,20,Demond Claiborne,,RB67
67,16,Denzel Boston,,WR67
68,20,Kimani Vidal,,RB68
68,17,Caleb Douglas,,WR68
69,20,Sean Tucker,,RB69
69,17,Dontayvion Wicks,,WR69
70,21,Ty Johnson,,RB70
70,17,Jalen Nailor,,WR70
71,21,Isaiah Davis,,RB71
71,17,Omar Cooper Jr.,,WR71
72,21,Jaylen Wright,,RB72
72,17,Jerry Jeudy,,WR72
73,21,Seth McGowan,,RB73
73,17,Cooper Kupp,,WR73
74,21,Najee Harris,,RB74
74,17,Chris Bell,,WR74
75,21,James Conner,,RB75
75,17,Jack Bech,,WR75
76,22,Jordan James,,RB76
76,18,Travis Hunter,,WR76
77,22,Jaydon Blue,,RB77
77,18,Isaac TeSlaa,,WR77
78,22,Adam Randall,,RB78
78,18,Calvin Ridley,,WR78
79,22,LeQuint Allen,,RB79
79,18,Jaylin Noel,,WR79
80,22,Chris Brooks,,RB80
80,18,Tank Dell,,WR80
81,18,Rashod Bateman,,WR81
82,18,Malachi Fields,,WR82
83,19,Pat Bryant,,WR83
84,19,Ted Hurst,,WR84
85,19,Tre' Harris,,WR85
86,19,Tyquan Thornton,,WR86
87,19,Xavier Legette,,WR87
88,19,Devaughn Vele,,WR88
89,20,Zachariah Branch,,WR89
90,20,DeMario Douglas,,WR90
91,20,Xavier Hutchinson,,WR91
92,20,Luke McCaffrey,,WR92
93,20,Ryan Flournoy,,WR93
94,20,Jahan Dotson,,WR94
95,20,Darnell Mooney,,WR95
96,21,Elic Ayomanor,,WR96
97,21,Germie Bernard,,WR97
98,21,KaVontae Turpin,,WR98
99,21,Zavion Thomas,,WR99
100,21,Isaiah Williams,,WR100
101,21,Troy Franklin,,WR101
102,21,Kendrick Bourne,,WR102
103,21,Keon Coleman,,WR103
104,21,Andrei Iosivas,,WR104
105,22,Jalen Tolbert,,WR105
106,22,Antonio Williams,,WR106
107,22,Skyler Bell,,WR107
108,22,Tez Johnson,,WR108
109,22,Chimere Dike,,WR109
110,22,Kalif Raymond,,WR110
111,22,Brenen Thompson,,WR111
112,23,Darius Slayton,,WR112
113,23,Tutu Atwell,,WR113
114,23,Ashton Dulin,,WR114
115,23,Bryce Lance,,WR115
116,23,Devontez Walker,,WR116
117,23,Treylon Burks,,WR117
118,23,Marvin Mims Jr.,,WR118
119,23,Tory Horton,,WR119
120,23,Tyreek Hill,,WR120
