Rank,Quarterback,Tier,,Rank,Running Back,Tier,,Rank,Running Back,Tier,,Rank,Wide Receiver,Tier,,Rank,Wide Receiver,Tier,,Rank,Wide Receiver,Tier,,Rank,Tight End,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Team Defense,Tier,,Rank,Kicker,Tier
32,Shedeur Sanders,15,,32,Tony Pollard,11,,72,Jaylen Wright,21,,32,Marvin Harrison Jr.,10,,72,Jerry Jeudy,17,,112,Darius Slayton,23,,32,Evan Engram,12,,32,Ladd McConkey,WR,5,,82,Michael Pittman Jr.,WR,10,,132,Woody Marks,RB,14,,182,Ja'Kobi Lane,WR,19,,32,Arizona Cardinals,13,,32,Andre Szmyt,12
33,Kirk Cousins,16,,33,Jordan Mason,12,,73,Seth McGowan,21,,33,Alec Pierce,10,,73,Cooper Kupp,17,,113,Tutu Atwell,23,,33,Oronde Gadsden,13,,33,Luther Burden III,WR,5,,83,Trevor Lawrence,QB,10,,133,Dylan Sampson,RB,14,,183,Cyrus Allen,WR,19,,,,,,,,
34,Michael Penix Jr.,16,,34,J.K. Dobbins,12,,74,Najee Harris,21,,34,Chris Godwin,11,,74,Chris Bell,17,,114,Ashton Dulin,23,,34,Darren Waller,13,,34,Jaylen Waddle,WR,5,,84,Dak Prescott,QB,10,,134,Rachaad White,RB,14,,184,Cade Otton,TE,19,,,,,,,,
35,Deshaun Watson,16,,35,Blake Corum,12,,75,James Conner,21,,35,Courtland Sutton,11,,75,Jack Bech,17,,115,Bryce Lance,23,,35,David Njoku,13,,35,Josh Allen,QB,5,,85,Caleb Williams,QB,10,,135,Cameron Dicker,K,14,,185,Malik Willis,QB,20,,,,,,,,
36,Carson Beck,16,,36,Chuba Hubbard,12,,76,Jordan James,22,,36,Michael Pittman Jr.,11,,76,Travis Hunter,18,,116,Devontez Walker,23,,36,Michael Mayer,13,,36,Cam Skattebo,RB,5,,86,Justin Herbert,QB,10,,136,Jason Myers,K,14,,186,Tyler Loop,K,20,,,,,,,,
,,,,37,Kyle Monangai,13,,77,Jaydon Blue,22,,37,Stefon Diggs,11,,77,Isaac TeSlaa,18,,117,Treylon Burks,23,,37,Darnell Washington,14,,37,Travis Etienne Jr.,RB,5,,87,Tony Pollard,RB,10,,137,Denver Broncos,DST,14,,187,Chicago Bears,DST,20,,,,,,,,
,,,,38,Kenneth Gainwell,13,,78,Adam Randall,22,,38,DK Metcalf,11,,78,Calvin Ridley,18,,118,Marvin Mims Jr.,23,,38,Matthew Hibner,14,,38,Zay Flowers,WR,5,,88,Stefon Diggs,WR,10,,138,Seattle Seahawks,DST,14,,188,Green Bay Packers,DST,20,,,,,,,,
,,,,39,Chris Rodriguez Jr.,14,,79,LeQuint Allen,22,,39,Brian Thomas Jr.,11,,79,Jaylin Noel,18,,119,Tory Horton,23,,39,Mason Taylor,14,,39,Tee Higgins,WR,5,,89,DK Metcalf,WR,10,,139,Matthew Golden,WR,15,,189,Cairo Santos,K,20,,,,,,,,
,,,,40,RJ Harvey,14,,80,Chris Brooks,22,,40,Jordan Addison,12,,80,Tank Dell,18,,120,Tyreek Hill,23,,40,Theo Johnson,14,,40,Breece Hall,RB,5,,90,Jordan Mason,RB,10,,140,Josh Downs,WR,15,,190,Jauan Jennings,WR,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Colston Loveland,TE,6,,91,J.K. Dobbins,RB,10,,141,Keenan Allen,WR,15,,191,Jalen McMillan,WR,20,,,,,,,,
Half PPR Rankings - 08/29/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Tetairoa McMillan,WR,6,,92,Blake Corum,RB,10,,142,Romeo Doubs,WR,15,,192,Adonai Mitchell,WR,20,,,,,,,,
Set Zoom to 77% for the Full Rankings View,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Garrett Wilson,WR,6,,93,George Kittle,TE,11,,143,Keaton Mitchell,RB,15,,193,Kenyon Sadiq,TE,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Emeka Egbuka,WR,6,,94,Dallas Goedert,TE,11,,144,Mike Washington Jr.,RB,15,,194,Pat Freiermuth,TE,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Bucky Irving,RB,6,,95,Brian Thomas Jr.,WR,11,,145,Jonah Coleman,RB,15,,195,Denzel Boston,WR,21,,,,,,,,
,I'M CURRENTLY DOING SOME RESEARCH ON COMMISSIONERS EXEMPT LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,46,D'Andre Swift,RB,6,,96,Jordan Addison,WR,11,,146,Matthew Stafford,QB,15,,196,Tank Bigsby,RB,21,,,,,,,,
,AFTER LOOKING INTO IT... WE SHOULD EXPECT 6-8 GAME SUSPENSION FOR JACOBS,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Tyler Warren,TE,6,,97,Dalton Kincaid,TE,11,,147,Bo Nix,QB,15,,197,Ray Davis,RB,21,,,,,,,,
,IF NOT POTENTIALLY MORE... BASED ON NFL FINDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Davante Adams,WR,6,,98,Chuba Hubbard,RB,11,,148,Jared Goff,QB,15,,198,Brian Robinson Jr.,RB,21,,,,,,,,
,MARSHAWN LLOYD RB#28 & JOSH JACOBS RB#45,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Parker Washington,WR,6,,99,Kyle Monangai,RB,11,,149,Minnesota Vikings,DST,16,,199,Caleb Douglas,WR,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Josh Jacobs,RB,6,,100,Kenneth Gainwell,RB,11,,150,Will Reichard,K,16,,200,Dontayvion Wicks,WR,21,,,,,,,,
